answers,question
"I can't tell or advice you about the choice you should make but being an IIT Mandi CSE student, I can highlight some of the pros and cons of studying CSE at IIT Mandi. Pros: First of all, the scenic beauty of the Himalayas. Given the knowledge that it is also close to your home, you would love to be at Mandi. Though eventually you might end up disliking the mountains because of your 4 years stay there. This happened to a lot of my friends but the same was not the case with me. I still love them as much I loved them when I first went to IIT Mandi.The opportunities are numerous. Since, the amountContinue ReadingI can't tell or advice you about the choice you should make but being an IIT Mandi CSE student, I can highlight some of the pros and cons of studying CSE at IIT Mandi. Pros: First of all, the scenic beauty of the Himalayas. Given the knowledge that it is also close to your home, you would love to be at Mandi. Though eventually you might end up disliking the mountains because of your 4 years stay there. This happened to a lot of my friends but the same was not the case with me. I still love them as much I loved them when I first went to IIT Mandi.The opportunities are numerous. Since, the amount of students is less in IIT Mandi, you will get a lot of opportunities in every field. In my first year, I was not a very good TT player but still I made it to Inter IIT sports tournament. Well this is a really great thing because I have seen my friends in other IITs who have much more talent than me and still struggle to get into the Inter IIT team and eventually are not able to make it because there are students who are more talented than them.The opportunities don't limit to the Inter IIT sports fest. You get to participate in each and every student club activity. Given that we had less number of students, the cultural and technical clubs were open to all the students without any sort of recruitment. But this does not mean that you won't have to work anywhere. The students who did not work eventually separated out from the people who did.Easy approach to faculty and staff. Where it takes a lot of days to get your request processed in a big college, you will find it extremely easy to approach any teacher or staff for any problem. Even the Director is easily accessible.Cons: The Campus. I think I don't need to explain this drawback. But for details, permanent campus which is being built in Kamand, 15 kms ahead of Mandi is going to be really good when it completes.The lack of faculty. You will face a serious problem in this area because this is a new IIT and most of the teachers you see will be inexperienced.No recreational facilities. You must know beforehand that people of Mandi are very conservative and there is no source of entertainment on weekends like malls or shopping complexes. There is only one theater and believe me you will not want to go and see a movie there unless you see the price which is 30-40 Rs. per ticket. So, in all you will be spending the weekend either in the room sleeping, or talking with friends or visiting the campus just because you have to download some movies or TV serials. It will be really good if you make trekking as one of your habits.College Culture. There is no defined culture or college life as you consider it. You will not be able to get the real feel of a college life.The Placements. There comes the issue which you will probably be most worried about. I must say that there were very less number of companies which came for internships and jobs, in contrast to BITS Pilani where the number is much larger. The reasons being that it is a new IIT and that the place is very inaccessible. Most of the companies just deny coming to the college because it is 7 hours journey by bus from Chandigarh. Though there is a airport at Bhuntar (2 hours away) but you can say that it is almost non functional.Well, given all the points in favor and against, I would suggest you one thing. Don't rely on opinion of other people because everyone has his/her own perspective. When I entered into IIT Mandi, my friends mocked me for having made such a bad choice but I ended up getting placed at Amazon Development Center, India. So, set your preferences and then make a decision because at the end whichever college you go to, what will matter is not the contribution of college but the hard work you did. Best of luck for your coming years :D ",Is IIT Mandi or Bits Pilani better for studying Computer Science? 
"BITS Pilani. I don't think that it should be a difficult choice. I'll tell you why: (1) Placements: BITS Pilani (Pilani Campus) CSE has had an awesome track record as far as placements are concerned and by that I mean comparable to the old IITs. As placements at the new IITs are not yet at par with their older counterparts, IIT Mandi will take some time to reach there. Also there is a huge difference between the number of companies that visit at BITS Pilani (Pilani) and the new IITs given the reputation and alumni presence of BITS Pilani. Apart from tech. companies a lot consultancy firms and b Continue ReadingBITS Pilani. I don't think that it should be a difficult choice. I'll tell you why: (1) Placements: BITS Pilani (Pilani Campus) CSE has had an awesome track record as far as placements are concerned and by that I mean comparable to the old IITs. As placements at the new IITs are not yet at par with their older counterparts, IIT Mandi will take some time to reach there. Also there is a huge difference between the number of companies that visit at BITS Pilani (Pilani) and the new IITs given the reputation and alumni presence of BITS Pilani. Apart from tech. companies a lot consultancy firms and banks come to Pilani for recruitment which broadens your future prospects. (2) Research: The research opportunities that you get at BITS are phenomenal with their system of SOP/COP/LOP (Study/Computer/Lab Oriented Project) which you can take up from your 2nd year itself. Also the opportunities that you get through PS-I( compulsory summer Intern after your 2nd year) and PS-II( compulsory 6 months long internship or 6 months long thesis opportunity after your 3rd year) are invaluable as an undergrad.  (3) Campus culture/ Peer group: BITS Pilani will give you an awesome peer group (with the No Reservation Policy) which I think is very important. Also the campus culture is well developed which I think you will miss at IIT Mandi as someone has already pointed out ""you won't get the feel of a good college life"". The campus culture at BITS  is great, with a large number of clubs and departments it gives you ample opportunities to develop yourself over your college years. Fests like Oasis ( the best after IIT Bombay's Mood Indigo) and Apogee are an awesome experience.  (4) Alumni: BITS has got a very strong alumni network. I think the alumni network of BITS is one of it's kind, with groups like BITS2MSPHD, BITS2BSCHOOL and BITStoIAS the alumni are constantly connected to the current students and are really helpful. Now the only issue i guess is the fees at BITS. Yeah It is costly, but with the hike in the fees there has been a rise in the number of scholarships they offer too. btw many congratulations to you on getting a great JEE rank and an awesome BITSAT score. Good Luck :) ",Is IIT Mandi or Bits Pilani better for studying Computer Science? 
"Before I begin narrating down my answer, I would like to clearly mention that the following is solely my observation and review. If someone has problems, you are most welcome to skip reading the content below. Campus : On a serious note, I feel IIT Mandi doesn’t have a good infrastructure, when compared with all others, in the entire IIT family. One should clearly remember that beautiful hills, mountains, rivers, waterfalls and clouds are not a part of the IIT Mandi campus. They are simply outside the campus and certainly not constructed by the development authorities. Stop saying that IIT Mandi Continue ReadingBefore I begin narrating down my answer, I would like to clearly mention that the following is solely my observation and review. If someone has problems, you are most welcome to skip reading the content below. Campus : On a serious note, I feel IIT Mandi doesn’t have a good infrastructure, when compared with all others, in the entire IIT family. One should clearly remember that beautiful hills, mountains, rivers, waterfalls and clouds are not a part of the IIT Mandi campus. They are simply outside the campus and certainly not constructed by the development authorities. Stop saying that IIT Mandi has a beautiful campus just because of the natural resources present outside the campus and the hilly view is mesmerizing and beautiful. IIT Mandi has simply failed to build a good permanent and a planned campus despite of the fact that ~12 years have passed since its establishment. There are 2 campuses in IIT Mandi - North campus and the South campus. IIT Mandi’s South campus : The South campus is completely temporary in design and construction.The authorities keep on digging up and constructing stuff, again demolishing the same structures and performing the same construction again and this has been repeating for years.Majority of the construction in the south campus is temporary which will be demolished once the new director joins this year.As soon as you enter the south campus, a lot of structures on your left, as you walk towards the ground, are extremely poorly built just like local huts in any remote area and they exist even after years of college establishment.As you enter the South campus and proceed towards the main play-ground, you will find nothing but majority of washrooms on your left and that too poorly maintained and built. Which IIT campus in India, you will find series of washrooms as you soon as you enter the campus.Just at the beginning of the south campus, there is a local canteen called CVR canteen that serves the most unhygienic food on the entire campus. It is more of a provision store and less of a canteen. The level of hygiene here is simply unbearable. The cooks prepare food, take bath and wash clothes in the same kitchen itself. The prepared snacks are kept inside the glass containers full of insects, rodents including cockroaches. There is no cleanliness in the sitting area. I don’t feel such type of canteen should exist in any Indian college or university. They include over 50 different food items but prepare not more than 5 or 6. Any genuine complain against unhygienic setting etc. is not addressed properly. I personally feel, that the canteen is heavily and too much backed up, by the college authorities.Now coming to the ground, which is another spot for never ending construction. The policy they follow is simply to build, demolish and repeat. The authorities construct and demolish the structures again and again. Some issue with the civil department too, I guess.The pathways and the roads inside the South campus are extremely poor in quality and keeps worsening especially during rains.The most irritating part is the construction debris due to the entire campus being dug up again and again. The connecting sanitation and drainage pipelines are just not properly planned and implemented due to which water keeps flowing everywhere and getting collected.There are no proper canteens in the entire South campus where you can have reasonable and quality food. Few of the existing so called canteens operating inside the campus pay hefty amount of revenue to the college authorities which allow them to operate. There is a small stall like canteen called as ‘BulBul’ canteen that will prepare veg maggie and chicken in the same pan messing everything. Recently its owner was fined Rs. 5000 for utter unhygienic environment he has inside. No new vendors are allowed or given permit unless they agree to pay a heavy part of their money to college authorities. You cannot have simple south Indian dishes like dosa, idli, vada or good quality bakery items like burger, hotdog, puffs, pastry & cakes, sandwiches, pizzas etc. There is just one very simple canteen that serves extremely overpriced and very limited food items like desserts and shakes with no food variety at all. There are simply no provisions at all. There are no arrangements for any sort of fast food chains to operate inside the campus unlike all other IITs. Also since the area is remote, there are no hopes from outside the campus as well. You are suppose to travel to Mandi town to enjoy some of the delicacies or survive on maggie and parathas. Personally, I have stopped eating from any the canteens especially CVR and the BulBul.IIT Mandi’s North campus : IIT Mandi’s north campus is the most unplanned and illogical campus that any IIT may possibly have. The entire construction takes place at random and as I previously mentioned that they are still constructing the main sections of the campus even till today.The amount of planning that should have been involved while constructing the main North campus is zero. They constructed hostels right in front of the faculty and staff quarters. Also the architecture and design of the construction looks quite uglier. The buildings have just been whitewashed and the construction authorities still haven’t progressed to painting. There are broken pieces of big rocks and construction debris all over. The drainage pipes run from anywhere to everywhere spilling out water on the pathways and making it a complete mess during rains.Majority of the labs and hostels are still in construction. The existing labs are extremely poor on resources and basic lab facilities. The new lab in which I work is extremely low on seating capacity and system resources. Previously labs operated from the South campus and the situations were the same. The same is the situation for the students of the other departments as well. The college has simply failed to build decent lab and computing facilities even after so many years. Since the construction was poor in logic and design, so is the lab facility in most of the streams. Just placing some old systems & material in a small area does not constitute a premier and state of the art computing lab.There are almost no canteens available on the campus. They have recently opened a fast food outlet called ‘OneBite’ but again the quality and variety is very limited and promising. The college authorities still don’t actively supports the outlet yet. It is extremely surprising to see hygienic and quality checks happening in ‘OneBite’ but not at all in the unhygienic CVR or BulBul Canteen in the South campus just because they may be backed up by certain college authorities.Even it is the main campus of IIT Mandi, still they don’t have any fast-food or traditional Indian style restaurants operating on campus. IIT Roorkee has Subway, PizzaHut, IIT Kanpur has CCD, Dominoes, IIT Bombay has Nescafe and so on. I don’t remember the exact list of the food outlets and restaurants in other IITs as well but IIT Mandi practically has none. Both the campuses of IIT Mandi have no hostel canteens or late night canteens. However I found mess food to be very good in both the IIT campuses. D1 mess in South campus is simply great.There is no quality furniture in the labs, hostels and inside libraries. Also the amount of academic material that should be present inside an IIT library is way less. Since I work in the CSE department, to my utter surprise, the main CSE (MANAS) lab is extremely weak on seating capacities, quality furniture, lab equipments. Most of the system comprises of old material and components and haven’t been upgraded since years. I personally felt that most of the elite and premier schools in Delhi have a much better built computer labs than this, apart from few of the advanced computing facilities currently being integrated or already integrated into. It is surprising to witness a new generation IIT demonstrating so low standards of core computer science lab, despite of completing 10 years of its establishment.Outside the campus : Again, this parameter is disappointing as it is majority of the local people who aim for employment and business due to existing IIT. The restaurants are very local in nature and don’t offer quality and variety in food items. Again the same hygiene issue persists.There are a lot number of provision stores outside. If you visit nearby areas such as Salgi, Katindi or Kamand, you will find 99% of the shops are nothing but provision stores. I expected variety such as garments shop, cafeterias, footwear shops, stationary shops, medical stores etc. But to the utter disappointment, all the locals are operating provision stores.There is not even a single medical store outside the campus. The local food outlets also serve the same thing: tea, coffee, parathas and maggie.The CSE labs and infrastructure is still not sufficient and strong to provide best of the opportunities. The faculty is extremely good and competitive however and one should remember that they are ultimately practising traditional & conventional teaching methodology as well as just doing their job mostly as an another govt. service or duty. Extremely and extremely few of them are really helpful and motivating but others are not and the same story goes for most of the elite Indian engineering campuses. Placements : Placements are extremely good especially for the much coveted CSE stream. Top product based firms hire in good numbers from the campus. Overall extremely competitive placements are offered to its graduates. However core engineering departments still don’t have that great placements and those students opt for software or non-tech profile roles mostly in general. College Life : Personally college life, is not that great due to the lack of hangout zones both inside and outside the campus. Since the area is remote, there are no chill out zones outside too. The sports facilities are below average owning to the limited space of the college campus in the remote area but things are building up gradually. One may join college clubs and societies to participate in more of varied events and activities but the bitter truth is that the excitement and curiosity due to the scenic and appealing natural beauty will fade away in a few months and one may feel sort of trapped inside. The place is ideal for researchers who want a peaceful environment conducive to their work area. Hope that helps and excuse me for typos or grammatical errors, if any. Please upvote if you find it useful. ","How is IIT Mandi CS in terms of campus, placement and college life? "
"CS at IIT MANDI is pretty good. As far placements are concerned, avg package is 11-12 LPA.This year one of our student grabbed package at Google,5-7 at Amazon,5-7 at Microsoft.Faculty of CS is very good and experienced.We have our well established permanent campus,so college life is very good. As number of students are not much so one get immense number of opportunities in evry field. ","How is IIT Mandi CS in terms of campus, placement and college life? "
"It’s not good. Even some NITs are way better than this college. I do not have much idea about other branches, but for mechanical students there nothing much to learn about. I am a graduate student here and i found out that most of the faculties here, are couples(one of them got the job here and then recommended their spouse for a faculty post). So, its completely mess in terms research. They are not doing anything new. What they mostly do is mug up some research papers and got a new paper published. One of the faculty here is an associate here just because he published a lot of papers just by  Continue ReadingIt’s not good. Even some NITs are way better than this college. I do not have much idea about other branches, but for mechanical students there nothing much to learn about. I am a graduate student here and i found out that most of the faculties here, are couples(one of them got the job here and then recommended their spouse for a faculty post). So, its completely mess in terms research. They are not doing anything new. What they mostly do is mug up some research papers and got a new paper published. One of the faculty here is an associate here just because he published a lot of papers just by doing the same. So, at last i would say. if you are planning for the higher studies(specially in mechanical field) here then please do not come. ",What is your review of Faculty Of IIT Mandi? 
"★★ A2A :)I am neither a full time student of IIT Mandi nor I have spent some time there as a visiting student. Though I have gone through their Faculty Profiles provided at official website, It looks same as other newly established IITs (excluding IITH & IITGn, they are way better than others). ",What is your review of Faculty Of IIT Mandi? 
Physics faculty is very good ,What is your review of Faculty Of IIT Mandi? 
"I am unaware of the overall placement scenario, but there’s this guy called Shubham Ajmera who happens to be the son of my father’s colleague, who completed his B.Tech, Computer Science from IIT Mandi and bagged an all-time high package from Google, a whopping 1.7 Crore!  The point I wanna draw is, y Continue ReadingI am unaware of the overall placement scenario, but there’s this guy called Shubham Ajmera who happens to be the son of my father’s colleague, who completed his B.Tech, Computer Science from IIT Mandi and bagged an all-time high package from Google, a whopping 1.7 Crore!  The point I wanna draw is, your college’s newness doesn’t matter. Opportunity knocks on all doors, be good enough to grab it. :) ",What is the current placement scenario at IIT Mandi? 
"It has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost compContinue ReadingIt has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to trek around with friends.Teachers are good. Off course you will not like some of them but it is good. After all we are the only IIT to have more staff than the sanctioned strength.Now comes the bad: The institute is still new and not in a major city you will feel it tough to gather sponsors for any event.(the situation improves every year, we will be having 3 pro nites this Exodia !!).The main city Mandi is around 40 mins from institute thus if you want to hang out at dominos or have good tea/coffee at some cafe you will have to travel at least 80 mins (back and fro).You will feel lack of equipments and space for music club. We feel that Music club room should be bigger with better speakers.If you are a robotronics guy you will mostly not find parts in Mandi and it is a pain. Especially if you to complete something fast. You have to either go to Chandigarh or Delhi (maybe Shimla) to get things done.I have Apple devices and the nearest service centre. is in in Shimla, so if you buy or have replacement you need to go to Shimla.I have not experienced any other difficulty till now. Will update later.My life at IIT Mandi is just awesome. I get a lot of free time and is involved in some projects. Being in new college I get exposure to lot of new projects which are generally done 2nd -3rd yearites. Plus you get the opportunity to be core member of many clubs. Study is good and not at all stressful like JEE. (where 50 percent has to break their a** to get here). We have two quizzes and an end semester. The quiz of an hour and are over in a over a week. Also if you like to do multiple projects but don’t have enough motivation to start new projects , don't worry you have to a project every year to get grades. If you study smartly you can have a CG of 9 above (in 1 sem) easily. For above 9 just attend most classes. And even after all this stuff you can find time to pursue a hobby and play sports. Overall you will be always busy with some stuff or other (if you are not a Maggu/lame). Now for those who are reading this answer to find out placements and all. Look for CS they are just like any other college good. If you are good at coding and have nice outlook you can get a 20–25 easy. For mech guys (like me) have to work hard to get placement. The truth is this is the case all over India there are very few core companies so to get into them is tough. But mech is a branch which you pursue solely for your interest,some guys can get an awesome placement while others may be no. The for mech this year is 17 lac in HOCL (a PSU). Or you can apply of campus to companies like BM and Merc. it is all on you. For electrical I don’t have any reviews but they are more or less like mech guys besides the fact that they are sometimes(mostly) hired by IT giants. Again for internships you need to work hard, they are the same as placement. The only plus point is that we have a semester exchange program where you can to Germany and study a sem there. It is beneficial. EDIT1 : IIT Mandi has been literally very good in tech fests. It has been the number one new IIT in inter IIT tech meets. ",What is the current placement scenario at IIT Mandi? 
"The hostels at IIT Mandi are some of the best hostels you can find in the country. The hostels are equipped with: 24*7 high speed internet.Water purifiers and water coolers.A microwave oven for each hostel, and if the hostel is a big one, multiple microwave ovens.Every hostel but one has a common room where there is a television with almost all the channels.Irons.The four new hostels have a study room on each floor. The study room consists of a projector, a projector screen, a table with chairs and great lighting.The common room of hostels also has a TT table.Each hostel gets some funds, with wContinue ReadingThe hostels at IIT Mandi are some of the best hostels you can find in the country. The hostels are equipped with: 24*7 high speed internet.Water purifiers and water coolers.A microwave oven for each hostel, and if the hostel is a big one, multiple microwave ovens.Every hostel but one has a common room where there is a television with almost all the channels.Irons.The four new hostels have a study room on each floor. The study room consists of a projector, a projector screen, a table with chairs and great lighting.The common room of hostels also has a TT table.Each hostel gets some funds, with which you can get some switches and LAN cables for gaming and all. You can also get games like carrom board, etc. from the funds.All in all, the hostels are pretty cool. Life at the hostels is, again, awesome. Saif’s answer on the question nearly sums up many aspects of the hostel life. As far as campus life is concerned, different people may have different views on it. I personally like my campus and hostel life at IIT Mandi a lot. Coming to ragging, you may face light ragging here, but nothing at all like the 3 Idiots one, “Jahaanpana, tussi great ho, tohfaa kubool karo”  The environment at IIT Mandi is amazingly peaceful. I remember a fourth year senior telling me just some weeks back before leaving the college: “Yaar baaki saare city wale colleges to aise hi hote hain, kya padhe kya nahi padhe sab bhool jaenge. Lekin iss jagah ko nhi bhool paenge, ye jagah bahut hi faad hain, aur sabse alag hain!” ",How is the hostel life and campus life at IIT Mandi? At what level is ragging at IIT Mandi? 
"Okay Anon thanks for A2A and sorry I might not be the right person to give you a satisfactory answer to this question. I'll try my best though. Well now that I am thinking what should I write here, I realized that I never had the time to think how my life is going there. I think I can put the blame on quite compact semester schedule. Due to a short 4 month semester and numerous small but fun inter/intra sports/tech-cult fest you will be extremely busy throughout the semester if you're socially active. Although life here is almost similar to any other good fully residential engineering college  Continue ReadingOkay Anon thanks for A2A and sorry I might not be the right person to give you a satisfactory answer to this question. I'll try my best though. Well now that I am thinking what should I write here, I realized that I never had the time to think how my life is going there. I think I can put the blame on quite compact semester schedule. Due to a short 4 month semester and numerous small but fun inter/intra sports/tech-cult fest you will be extremely busy throughout the semester if you're socially active. Although life here is almost similar to any other good fully residential engineering college is India.  Let me put it down to as a short checklist. #1. Early morning classes.   				 [√]        Classes start as early as 8 am even during November.#2. Strict attendance requirements.    [√] 	 S-E-V-E-N-T-Y percent. And to top it all some teachers give marks for attendance. :'( #3. Mess food that will make you homesick. [√] You will miss your mother with almost every bite you take.#4. Canteens and Late night canteens.		 		 [√] Canteens. The best place to hangout at the start of the month. #5. Unfriendly Hitler type professors. 			 [x] * Most of them are friendly and experts in their fields. #6. Ragging.					 [x] Zero percent ragging. I and my CS team used to go in the fourth year hostel and play CS with them till 6 am. They were not only friendly but were equally cool. :) #7. Clubs that help you discover new passion and stick to the existing ones. [√] A lot of clubs and a lot to do.          More details here >> Indian Institute Of Technology Mandi#8. Nearby Malls, Cinema Theaters. 			[x] Well everything comes with a price. You'll have to sacrifice the city life, (un)fortunately. However there is one cinema hall in Mandi but the condition is not so good. #9. Some fests to lighten the mood.			[√]        It would unfair to say that all the fests here are legendary. But Exodia and Rann-Neeti are quite awesome if you get involved. :) Even the intra-college fests are cool, small but enjoyable. :)#10. Cool sports culture.				[√] Sport culture here is just awesome. Not just in the campus but even in Mandi, the people are great sports enthusiasts. Even during the end sems you can spot some people playing their favorite game.#11. Events to showcase your techincal and non-technical talents. [√]#12. Unlimited high speed internet .			[√]          Although it's has a lot of restrictions, but then restrictions are not there to prevent but to make you think/explore for a solution. That's all I can think of now. Hope it clears all of your doubts. If you want any specific details, I'll be happy to help. ",How is the hostel life and campus life at IIT Mandi? At what level is ragging at IIT Mandi? 
"(A2A)Not necessarily. Although IIT Guwahati looks really attractive, photos on internet are not enough to compare college campuses (hundreds of acres of land). Presently, many IITs are still under construction and for IIT Mandi, more than 60% of the campus is mountainous. But let me mention a few clear positives of being here: IIT Mandi’s location make it a great place to spend some time at. It is essentially a valley surrounded by mountains. The river (Uhl, which is a right bank tributary of the river Beas) flowing down through the campus is the most unique feature of it (It is not as dangerous Continue Reading(A2A)Not necessarily. Although IIT Guwahati looks really attractive, photos on internet are not enough to compare college campuses (hundreds of acres of land). Presently, many IITs are still under construction and for IIT Mandi, more than 60% of the campus is mountainous. But let me mention a few clear positives of being here: IIT Mandi’s location make it a great place to spend some time at. It is essentially a valley surrounded by mountains. The river (Uhl, which is a right bank tributary of the river Beas) flowing down through the campus is the most unique feature of it (It is not as dangerous as it sounds). It really adds much elegance to its beauty by its clean running waters. Needless to say, sereneness of Kamand village and simplicity of Himachali people are a big bonus. Regarding weather: It experiences temperature ranging between 25-30 degrees during summers and a min temp of 0 in winters (yet there would be no snowfall, the advantage of being in a valley). The duration between September to November is considered the most pleasant of all times. If you wanna step out of campus, famous Grand places like Kullu-Manali and two major awesome lakes: Prashar and Rewalsar are a few hours drive away. YOu must google them if you haven’t already. Unparalleled in beauty, heritage, spirituality and adventure, there can never be a reason to not visit Himachal Pradesh. Bottom-line: You are situated at a place where India spends its vacations. Its quite a good deal for students who like travel and adventure. I have missed a lot of details, hopefully other answers will cover it. :) ",Is IIT Mandi the most beautiful IIt campus? 
"Well, Beauty comes with Nature. So here in IIT Mandi, mother nature has written something over it. Here are few moments in clicks. Sunny Days Electrical Engineering Lab  Taken from Central Library  Taken from D1 mess   Playground  Mechanical Workshop Road  Near D2 Mess  Beas Kund River flows in touch with campus  Campus view from top   Taken from Bio Lab  Rainy Days    From Central Library  Below clouds there is a city called Mandi  Below clouds there is a city called Mandi  Afternoon  Night  Dawn  Storm  This November, 2018   Morning Dew into Ice  After 2014, 2019 is Magic Year, Again. This year 2019,8th February, IIT Mandi is blissed by Continue ReadingWell, Beauty comes with Nature. So here in IIT Mandi, mother nature has written something over it. Here are few moments in clicks. Sunny Days Electrical Engineering Lab  Taken from Central Library  Taken from D1 mess   Playground  Mechanical Workshop Road  Near D2 Mess  Beas Kund River flows in touch with campus  Campus view from top   Taken from Bio Lab  Rainy Days    From Central Library  Below clouds there is a city called Mandi  Below clouds there is a city called Mandi  Afternoon  Night  Dawn  Storm  This November, 2018   Morning Dew into Ice  After 2014, 2019 is Magic Year, Again. This year 2019,8th February, IIT Mandi is blissed by God of Snow!!! Here it is written on the nature. From 7th to 9th February, 2019. Starting it with IIT Mandi, South Campus.                                      Now the IIT Mandi, North Campus         #Nature ",Is IIT Mandi the most beautiful IIt campus? 
"Let me present before you, the beautiful campus of IIT Guwahati  ​​​  ​​​  ​​​  ​​​  ​​​  ​​  ​​​   ​​​  ​​​Visit it once and you would never feel like leaving this place. :)  Continue ReadingLet me present before you, the beautiful campus of IIT Guwahati  ​​​  ​​​  ​​​  ​​​  ​​​  ​​  ​​​   ​​​  ​​​Visit it once and you would never feel like leaving this place. :)  ",Is IIT Mandi the most beautiful IIt campus? 
"Yes, since it is in lap of Himalayas. For pics, click Abhijeet Manhas's answer to Which IIT has the most beautiful and well-maintained campus? ",Is IIT Mandi the most beautiful IIt campus? 
