index,question,answers
10,Is IIT Mandi the most beautiful IIt campus? ,"Yes, since it is in lap of Himalayas. For pics, click Abhijeet Manhas's answer to Which IIT has the most beautiful and well-maintained campus? "
11,What's it like to attend IIT Mandi? ,"Hmm, well, I suppose I can answer this question as my first year here is just ending. First impressions first. My mind was absolutely blown by the insane beauty of the place. The campus seemed small but on seeing pictures of older times when there were just 4–5 buildings in campus I thanked my luck! H Continue ReadingHmm, well, I suppose I can answer this question as my first year here is just ending. First impressions first. My mind was absolutely blown by the insane beauty of the place. The campus seemed small but on seeing pictures of older times when there were just 4–5 buildings in campus I thanked my luck! Here is a picture of campus from the last sem:  It has already grown , completing most of the in-construction buildings that you can see. The speed of construction here is absolutely insane to a person from Bombay like me! It amazes me that things can work at this speed in a place so remote. All thanks to our amazing Director, I suppose! This is a picture of the upcoming North Campus that we will later shift to.  NOW, get this, The North Campus and South Campus (where we are now) are separated by a mountain! I mean, How cool is that?! Of course, they are planning to connect the two, not only by road (which itself is just 5–10 minutes by buses). And coming to remoteness, it sure as hell is remote. All you can see are mountains. The permanent campus is about an hour away from the main Mandi town where we have to go to get most of the things needed. There are 2 canteens within the campus and a stall of sorts and a restaurant/cafe sort of thing. Once bored of visiting the same few joints within campus, you can go to The Treat ,outside campus, a 5–10 min walk from campus’s gate. Nothing out of the extraordinary, but decent enough. The provision and stationery stores fortunately save us from having to travel an hour just for a pencil or pen. So the first week is known as an Orientation week, organised by the awesome GCS (Guidance and Counselling Service) volunteers. It’s a whole lot of fun and you get to know a lot of the campus and a lot of people within it. Also, you find out a lot about Mandi town as well. :) I won’t spill their secrets, so you have fun in it if you’re planning to come! The sports trials take place and you ( being a girl ) get selected in all possible. I picked badminton, and started playing in the first week itself. The sports facility is surprisingly, commendable. After that, classes starts. Classes, since I’m sure you’d want to know, are decent. Some professors and really , mindblowingly good, but some aren’t. Sometimes, although the teacher may be brilliant you are just not made for the subjec t- this happened with me and Electrical systems around us. The instructor, Ramesh Oruganti, was amazing but for some reason I still got a C! Ah, well. It gets a bit monotonous soon, but they don’t let it stay that way. Soon there is Aakarshan and intros of each club. After Aakarshan, the freshers’ introduction to all the cultural clubs, there are auditions for core members of each. Simultaneously, the technical clubs begin their open sessions for the first years and we get introduced to all of them. Quizzes come and go and the semester goes on. We start making friends, and you get used to the place and all the greenery! Being one of the few girls is a bit difficult in the beginning but the girls stick together at that time. Later the boys get used to us and it’s normal. The sem goes on, sports events come up, convocation comes up, cult events (not many in odd sem) come up and technical events go on. You re-realize how beautiful the place is. For me, one of the best times of the first sem was when the Dance club and the Lit society decided to participate in Antaragni, IIT Kanpur’s fest. This is one of the best parts of being in a college with a small population. If you’re decent at anything, they take you in the club and teach you and make you better. I have learnt so much in the past year about so so many things and discovered so much more about myself. I certainly wouldn’t have had this opportunity. Somewhere near November, final trials for Inter IIT take place and crazy preparation begins. End-sems take place in the last week of November and after that, Inter IIT camp starts again and then you leave. ( well, we didn’t, because of the Chennai floods but this is the general scenario.) During November , fest work begins and people are taken into different teams and work begins and continues during the vacation. The vacation is unending. It. Is. Eternity. You lose your mind wanting to have something to do because you are completely jobless. You realise you have lost about 10 kgs in a semester and hog on some good home food and go to all your usual places and meet everybody you knew. Still, that ends but the vacation doesn’t. No work. Nothing to do. No clothes to wash, no room to keep clean, no technical event to participate , no dance practice NOTHING. It is horrible for a while and then either you get used to it or start doing something at home. This year, we hosted the Inter IIT Tech-Meet, in January, but since that came during vacations, only a handful people witnessed it. The second semester, you are super happy to be back but also, obviously missing the beautiful home food. Its similar to the first except much much much much much (I could go on for eternity) more hectic. Many more events take place, this time alongside course projects. You realize how free you were in the previous semester. And Exodia happens. All the work, since November, culminates into one grand event filled with absolutely no sleep and too much work . Your respect increases for the certain few who you know carried out the whole fest on their shoulders. Those three days are the best days of the year. At the end of it, there is victory. Lot of work left but still , it’s over. We have done it. Well, they have done it! It’s a good feeling. The sem goes on. You re-realize how beautiful the place is. All the fourth years are now filled with nostalgia and are way too free since they have few credits left to complete. So they keep their club meetings much more often and you go for them because “Aww they’re leaving soon” :( For a person like me, who is practically in each club , there are too many farewells to handle. But it was worth it. It surprises me how many people leaving have made such a huge impression on me within one year. We organize the farewells gladly and basically, party hard. The courses are tougher, at least for me, so we also have to work hard . This sem, no one gets much sleep. I suppose it’s going to get even worse with each year. And now, endsems are here again and I am here on Quora instead of there , studying. So what’s it like? Its amazing, painful, annoying, lonely, scary, brilliant, beautiful and TIRING everything at once. The people you meet are people you will remember forever and the knowledge you learn (no, I am not talking about the classes) will stay with you. The friends you make,you hope to keep forever and the memories you will certainly cherish for life. Of course, this is all if you get off your butt and go participate in whatever is going on. I have made it a point to spend most days (and many nights) out of my room, meeting people, making things, working, sometimes even studying, talking, partying, practicing, or maybe just walking with a friend or two. If you decide to sit in your room and surf Quora all day, then its the same as home .(Actually, it’s worse because its without the good food!) So, participate and IIT Mandi will gladly be there to help you. :) "
12,What's it like to attend IIT Mandi? ,"It has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost compContinue ReadingIt has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to trek around with friends.Teachers are good. Off course you will not like some of them but it is good. After all we are the only IIT to have more staff than the sanctioned strength.Now comes the bad: The institute is still new and not in a major city you will feel it tough to gather sponsors for any event.(the situation improves every year, we will be having 3 pro nites this Exodia !!).The main city Mandi is around 40 mins from institute thus if you want to hang out at dominos or have good tea/coffee at some cafe you will have to travel at least 80 mins (back and fro).You will feel lack of equipments and space for music club. We feel that Music club room should be bigger with better speakers.If you are a robotronics guy you will mostly not find parts in Mandi and it is a pain. Especially if you to complete something fast. You have to either go to Chandigarh or Delhi (maybe Shimla) to get things done.I have Apple devices and the nearest service centre. is in in Shimla, so if you buy or have replacement you need to go to Shimla.I have not experienced any other difficulty till now. Will update later.My life at IIT Mandi is just awesome. I get a lot of free time and is involved in some projects. Being in new college I get exposure to lot of new projects which are generally done 2nd -3rd yearites. Plus you get the opportunity to be core member of many clubs. Study is good and not at all stressful like JEE. (where 50 percent has to break their a** to get here). We have two quizzes and an end semester. The quiz of an hour and are over in a over a week. Also if you like to do multiple projects but don’t have enough motivation to start new projects , don't worry you have to a project every year to get grades. If you study smartly you can have a CG of 9 above (in 1 sem) easily. For above 9 just attend most classes. And even after all this stuff you can find time to pursue a hobby and play sports. Overall you will be always busy with some stuff or other (if you are not a Maggu/lame). Now for those who are reading this answer to find out placements and all. Look for CS they are just like any other college good. If you are good at coding and have nice outlook you can get a 20–25 easy. For mech guys (like me) have to work hard to get placement. The truth is this is the case all over India there are very few core companies so to get into them is tough. But mech is a branch which you pursue solely for your interest,some guys can get an awesome placement while others may be no. The for mech this year is 17 lac in HOCL (a PSU). Or you can apply of campus to companies like BM and Merc. it is all on you. For electrical I don’t have any reviews but they are more or less like mech guys besides the fact that they are sometimes(mostly) hired by IT giants. Again for internships you need to work hard, they are the same as placement. The only plus point is that we have a semester exchange program where you can to Germany and study a sem there. It is beneficial. EDIT1 : IIT Mandi has been literally very good in tech fests. It has been the number one new IIT in inter IIT tech meets. "
13,What are the craziest stories of IIT Mandi? ,"Cows with ghostly eyes roaming in Prashar hostel after midnight.Greedy Monkeys greeting you one your first night as a Freshie at Suvalsar Hostel. (They frequently get into rooms and steal stuff and when times are hard , they don't hesitate to march in with armies and take all thee fruits in your room. My friend Vikhyat Korrapati has had such an Experience)The Director and some security Guards waking up everyone in Prashar Hostel for an early morning jogA  TA whose answer to every question regarding Linux is ""Read the man Page""Professor tears up a students answer sheet into 4 pieces because hisContinue ReadingCows with ghostly eyes roaming in Prashar hostel after midnight.Greedy Monkeys greeting you one your first night as a Freshie at Suvalsar Hostel. (They frequently get into rooms and steal stuff and when times are hard , they don't hesitate to march in with armies and take all thee fruits in your room. My friend Vikhyat Korrapati has had such an Experience)The Director and some security Guards waking up everyone in Prashar Hostel for an early morning jogA  TA whose answer to every question regarding Linux is ""Read the man Page""Professor tears up a students answer sheet into 4 pieces because his submission is 20 seconds late. Now the student decides to make this memorable. He tears off those 4 pieces into 8 and gives them back to the professor."
14,What are the craziest stories of IIT Mandi? ,"It has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to Continue ReadingIt has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to trek around with friends.Teachers are good. Off course you will not like some of them but it is good. After all we are the only IIT to have more staff than the sanctioned strength.Now comes the bad: The institute is still new and not in a major city you will feel it tough to gather sponsors for any event.(the situation improves every year, we will be having 3 pro nites this Exodia !!).The main city Mandi is around 40 mins from institute thus if you want to hang out at dominos or have good tea/coffee at some cafe you will have to travel at least 80 mins (back and fro).You will feel lack of equipments and space for music club. We feel that Music club room should be bigger with better speakers.If you are a robotronics guy you will mostly not find parts in Mandi and it is a pain. Especially if you to complete something fast. You have to either go to Chandigarh or Delhi (maybe Shimla) to get things done.I have Apple devices and the nearest service centre. is in in Shimla, so if you buy or have replacement you need to go to Shimla.I have not experienced any other difficulty till now. Will update later.My life at IIT Mandi is just awesome. I get a lot of free time and is involved in some projects. Being in new college I get exposure to lot of new projects which are generally done 2nd -3rd yearites. Plus you get the opportunity to be core member of many clubs. Study is good and not at all stressful like JEE. (where 50 percent has to break their a** to get here). We have two quizzes and an end semester. The quiz of an hour and are over in a over a week. Also if you like to do multiple projects but don’t have enough motivation to start new projects , don't worry you have to a project every year to get grades. If you study smartly you can have a CG of 9 above (in 1 sem) easily. For above 9 just attend most classes. And even after all this stuff you can find time to pursue a hobby and play sports. Overall you will be always busy with some stuff or other (if you are not a Maggu/lame). Now for those who are reading this answer to find out placements and all. Look for CS they are just like any other college good. If you are good at coding and have nice outlook you can get a 20–25 easy. For mech guys (like me) have to work hard to get placement. The truth is this is the case all over India there are very few core companies so to get into them is tough. But mech is a branch which you pursue solely for your interest,some guys can get an awesome placement while others may be no. The for mech this year is 17 lac in HOCL (a PSU). Or you can apply of campus to companies like BM and Merc. it is all on you. For electrical I don’t have any reviews but they are more or less like mech guys besides the fact that they are sometimes(mostly) hired by IT giants. Again for internships you need to work hard, they are the same as placement. The only plus point is that we have a semester exchange program where you can to Germany and study a sem there. It is beneficial. EDIT1 : IIT Mandi has been literally very good in tech fests. It has been the number one new IIT in inter IIT tech meets. "
15,How is the campus of IIT Mandi? ,"Mandi is a very beautiful place....The transit campus is situated next to a very big ground called paddal ground surrounded by mountains from all sides there is a river flowing just next to the campus.Facilities.Although there are not much entertainment facilities like malls and shopping complexes or big multiplexes but there is a small theater ""kusum"" where one can go(personally i have never been to that)for shopping we have indira market where u can find everything you need from a needle to a home theater system!! also all the electronics stuff like ICs Motors etc. are availableThere ar Continue ReadingMandi is a very beautiful place....The transit campus is situated next to a very big ground called paddal ground surrounded by mountains from all sides there is a river flowing just next to the campus.Facilities.Although there are not much entertainment facilities like malls and shopping complexes or big multiplexes but there is a small theater ""kusum"" where one can go(personally i have never been to that)for shopping we have indira market where u can find everything you need from a needle to a home theater system!! also all the electronics stuff like ICs Motors etc. are availableThere are many small hospitals in mandi and as an IIT student you get free treatment!!  Being a Foodie i love exploring new places to eat and mandi has impressed me a lot...(not to forget about the 10% discount being an IITian ;) )There is Bake shop Raman Bakery For amazing Pastries and cakes Also Bake shop has a nice variety of Pizzas Puffs and different kind of desserts....Also one of my favourate places is Honey Hut Its a small cafe in Mandi which serves Awesome Burgers,Pizzas Rolls and a nice variety of desserts...TransportationBeing a hilly region it has no train connectivitythe best way to reach mandi is by  Volvo from Delhi or Chandigarh .one can also take train till Kirathpur and get a bus to mandi...being on the highway to manali there are decent amount of buses to mandi.    IIT MANDI     Indira Market   Victoria Bridge (the one on iit mandi symbol)    Mandi City     The permanent campus 2nd year students have already moved...... the whole college will be shifted in around 8 more months.....  Prashar Lake    "
16,How is the campus of IIT Mandi? ,"IIT Mandi has already shifted to its permanent campus in 2012. Right now we're living in the South section of the campus. The North section is under construction and will be ready in a year at most. The campus of IIT Mandi is one of the best as far as serene beauty is concerned. The campus is situated on the bank of Uhl River which is a tributary of Beas River.  Some snapshots of the South Campus:    Apart from the beauty there is a stationery shop in the campus to purchase stationery items and a provisional store for purchasing items of daily use. There is a facility of regular shuttles buses between Continue ReadingIIT Mandi has already shifted to its permanent campus in 2012. Right now we're living in the South section of the campus. The North section is under construction and will be ready in a year at most. The campus of IIT Mandi is one of the best as far as serene beauty is concerned. The campus is situated on the bank of Uhl River which is a tributary of Beas River.  Some snapshots of the South Campus:    Apart from the beauty there is a stationery shop in the campus to purchase stationery items and a provisional store for purchasing items of daily use. There is a facility of regular shuttles buses between the campus and Mandi town. If you need to purchase anything which isn't available in the campus then you can go to Mandi town by a bus which takes around 40 minutes reach there. A medical unit has also been established in the campus for taking care of minor injuries and diseases. And there are also both private and government hospitals in Mandi town. As of now, there are four canteens in the South Campus and a semi-restaurant which goes by the name of Kamand-Treat in close proximity to the campus. Thanks. "
17,How is the campus of IIT Mandi? ,"It's an awesome place… loads of natural beauty, peace …. Fr me that was addiction. Totally for a biophillic person. I wanna share a pic i clicked travelling from Kamand to mandi  "
18,How is the campus of IIT Mandi? ,"Aesthetics and room availability aside, the campus and strength is so small that even the Canteen vaala thinks he is an IIT-ian. "
19,How is the campus of IIT Mandi? ,"Please refer to this Vivek Sharma's answer to Can anyone update the status of the new IITs, for BTech, in Jodhpur, patna, Indore, Gandhinagar, Ropar, Mandi, Bhubaneshwar, Hyder, as of today, e.g., the latest information on academics, sports, research, hostel facilities, placements, et cetera, ?  "
20,How is the campus of IIT Mandi? , Imposing heavy fines just because you haven't marked your attendance. 
21,How is the campus of IIT Mandi? ,"If you are interested to know about the hostels of IIT Mandi,please click on the follow up link: Abhijeet Sharma's answer to How is the hostel at IIT's?  "
22,How is the campus of IIT Mandi? ,"nice pictures , mandi is a fabolous town hp had , "
